,Category,Channel Id,Channel Title,Comments Count,Dislikes Count,Duration,Likes Count,Published Day,Published Month,Published Time,Published Week,Tags,Video Description,Video Id,Video Title,Views
102,25,UClOVHgi5_T3NyQsQPb0WXIw,gamesoftruth,157,21,549.0,614,2018-12-10,2018-12,Mon 22,2018-12 49,"['migration', 'migrationspakt', 'migrationsabkommen', 'was wird geschehen', 'kritik', 'bürger', 'deutschland', 'angst', 'innere sicherheit', 'veränderung', 'absicht', 'elite', 'finanzelite', 'politik', 'merkel', 'macron', 'gelbe westen', 'neue weltordung', 'unicef', 'un', 'united nations', 'marrakech', 'marokko', 'afrika', 'nigeria', 'migrationsrouten', 'migrationspläne', 'zukunft', 'eine welt', 'neue weltordnung', 'brainwash', 'bildung', 'menschen', 'menschenrechte', 'gleichschaltung', 'hilfe', 'frankreich', 'protest', 'demos', 'deutsches volk', 'trauma', 'traumata']","Die bekannte Philosophin Dr. Claudia Dorchain erklärt Entwicklungen und Handlungen aus philosophischer Sicht. Dem Migrationspakt liegt nämlich eine sehr  gefährliche Gesinnungsethik zugrunde. Für Bürger entsteht jetzt ein völlig anderes Bild, weshalb bestimmte Entscheidungen, die von der Politik getroffen für alle werden klar werden. 
Dr. Claudia Dorchain lebt in Frankreich, arbeitet als Hochschuldozentin und hat eine eigene Philosophische Praxis. Ausserdem berät sie Unternehmen und sie hat einen eigenen YouTube Kanal: Philosophie-Direkt.com
In mehreren Interviews wird  sie bei Gamesoftruth ihre philosophische Sicht darstellen und damit erklärt sich vieles was zur Zeit geschieht...",er96UKxV-Uc,Migrationspakt: Experiment mit Menschen ?,9512
103,25,UC4kbRZt6oNrlokrqrnQXpKg,RT Deutsch,22,248,19289.0,16,2018-12-10,2018-12,Mon 20,2018-12 49,['russia today'],"Eine internationale Konferenz in Marrakesch, Marokko, vom 10. bis 11. Dezember, beschäftigt sich mit der Annahme des globalen Migrationspaktes. (Bitte haben sie Verständnis dafür, dass wir die Live-Veranstaltung lediglich in englischer Sprache übertragen können).

Es wird erwartet, dass die von den Vereinten Nationen einberufene Konferenz formell ein umfassendes globales Abkommen verabschiedet, das darauf abzielen soll, die Migration sicherer und würdevoller zu machen.

Plenar-Zeitplan (bitte beachten Sie, dass es zu Änderungen im Programm kommen kann)

Eröffnungsplenum, Migrationskonferenz (Marrakesch, Marokko, 10.-11. Dezember 2018)- Marrakesch Plenarsaal

09.00- 19.00 UHR GMT 
Die allgemeine Aussprache beginnt mit Erklärungen der Staaten gemäß der festgelegten Rednerliste.

Allgemeine Debatte, 1. Plenarsitzung, Migrationskonferenz 

Mehr auf unserer Webseite: Umstrittener UN-Migrationspakt in Marrakesch angenommen https://de.rt.com/1qbv

Folge uns auf Facebook: https://www.facebook.com/rtdeutsch 
Folge uns auf Twitter: https://twitter.com/RT_Deutsch 
Folge uns auf Google+: https://plus.google.com/106894031455027715800/about 
RT Deutsch nimmt die Herausforderung an, die etablierte deutsche Medienlandschaft aufzurütteln und mit einer alternativen Berichterstattung etablierte Meinungen zu hinterfragen. Wir zeigen und schreiben das, was sonst verschwiegen oder weggeschnitten wird. RT - Der fehlende Part.",6L1upFOKB1s,LIVE [Fortsetzung]: Konferenz in Marrakesch – UN-Migrationspakt wird angenommen,3423
104,22,UCt5R7AnKhXbhD1CD_YtSwOw,Ebola - Virale News,556,32,483.0,2164,2018-12-10,2018-12,Mon 20,2018-12 49,"['merkel', 'migration', 'migrationspakt']","Gegen den Willen so vieler: der Migrationspakt ist unterzeichnet. Warnung an die Merkelophoben: in diesem Video ist sie reichlich zu sehen!

Wenn Ihr meine Arbeit und diesen Kanal unterstützen wollt, gerne auf Paypal unter: euphemismenfeind@gmail.com 

Oder:

IBAN: DE90360700240554794800
Empfänger: Kein  Name

Folgt mir auf Twitter: https://twitter.com/Ebola56952896 und Facebook:

https://www.facebook.com/Ebola-Viral-Lies-609067909441694/?modal=admin_todo_tour

Mein Ersatzkanal für den Fall der Zensur: 

https://www.youtube.com/channel/UCGVNQ50SxhHqPm0PaDK_mug?view_as=subscriber

Quellen:

https://www.welt.de/politik/deutschland/article185271880/Merkels-Ja-in-Marrakesch-Deshalb-lohnt-es-sich-um-den-Pakt-zu-kaempfen.html",W0gseo_9vqE,Migrationspakt unterzeichnet – quo vadis Germania?,17346
105,25,UC3STSnzyF8BETGxlBa07VmA,ExpressZeitung,6,1,331.0,120,2018-12-10,2018-12,Mon 19,2018-12 49,"['un', 'uno', 'united nations', 'vereinigte nationen', 'migrationspakt', 'migration', 'marrakesch', 'merkel marrakesch', 'global compact on migration', 'weltregierung', 'eu', 'eudssr', 'sowjetuniion', 'hintergründe uno', 'weltherrschaft', 'krieg', 'gender', 'gender mainstreaming', 'gendermainstreaming', 'sexualisierung', 'bildungsplan', 'politische korrektheit', 'political correctness', 'gerhard wisnewski', 'torsten mann', 'iwf', 'who', 'friedensorganisation', 'propaganda', 'nwo', 'neue welt ordnung', 'new world order', 'imperialismus']","Zu unserer Weihnachtsaktion: https://goo.gl/Cc4mYF

Die UNO - Die Organisation hinter dem Migrationspakt

„Sie kreiert Kriege genauso wie Seuchen. Sie zerstört Bildung und Erziehung und gibt das als Fortschritt aus. Sie erfindet eine „Klimakatastrophe“ und errichtet eine weltweite Planwirtschaft. Sie arbeitet an der Sexualisierung von Kindern und idealisiert schwule und lesbische „Lebenskonzepte“. Sie verherrlicht Migration, bekämpft die Nationen und arbeitet an einem weltweiten Schmelztiegel. Sie bekämpft die Geschlechter und arbeitet an der Schaffung eines Neuen Menschen. Sie ist die Speerspitze der Political Correctness und regiert schon fast 200 Staaten – die UNO. 1945 als angebliches Friedensprojekt gestartet, zeigen die Vereinten Nationen immer mehr ihr wahres Gesicht. Immer mehr betreibt die UNO eine Politik, die nicht nur Nationen und Völker zerstört, sondern auch den Planeten. 
Ein ungeheurer Vorwurf! Wie das? Ganz einfach: Wer bisher glaubte, die Sowjetunion sei 1990 untergegangen und allenfalls dabei, in Gestalt der EU wieder aufzuerstehen, sieht sich getäuscht. In Wirklichkeit wird die Sowjetunion auch auf globaler Ebene wieder gegründet, ohne dass es irgendjemand mitbekommt. Trotz ihrer unglaublichen Macht scheint kein Journalist und Buchautor die mächtigste Organisation der Welt überhaupt „auf dem Radarschirm“ zu haben."" 

Jetzt die Gelegenheit nutzen und die ExpressZeitung im Weihnachtsangebot bestellen: 

Statt 59€, jetzt und nur für kurze Zeit für 49€ pro Jahr!
Dafür bekommen Sie 10 Ausgaben, inkl. der neuen Ausgabe über die UNO mit über 80 Seiten! 

Zu unserer Weihnachtsaktion: https://goo.gl/Cc4mYF

Frohe Weihnachten und einen guten Rutsch ins neue Jahr!

Ihre Express Zeitung

____________________________________________________

Sind Sie an einer kritischen Alternative zum Mainstream interessiert? Dann empfehlen wir Ihnen unser Jahres-Abonnement..

ExpressZeitung bestellen:
Jahres-Abo: https://goo.gl/Cc4mYF

Social Media und Co:
Website: https://goo.gl/G4w7Rk
Facebook: https://goo.gl/6W9Hac
Twitter: https://goo.gl/QkXz1r
Instagram: https://goo.gl/45zVYM
Steemit: https://goo.gl/c4GPNz
DTube: https://goo.gl/1WyptB",DRoiE8vBwRg,Die UNO   Die Organisation hinter dem Migrationspakt,1054
106,25,UCz_Az4d9-Juo3wJTxPI0M7w,Tell The Truth,294,59,1131.0,489,2018-12-10,2018-12,Mon 17,2018-12 49,"['migrationspakt', 'flüchtlingsspakt', 'merkel', 'marokko', 'marrakesch', 'bundesrat befürwortet migrationspakt', 'reguläre migration', 'geordnete migration', 'uno', 'gcm', 'tell the truth swiss', 'tell the truth', 'völkerrecht', 'schicksalsfrage von europa', 'schweiz', 'genfer menschenrechtskonvention 1951', 'macron', 'arbeitsmigration', 'asyl', 'souveränität', 'deutschland', 'angela merkel', 'fluchtursachen', 'sichere geordnete und reguläre migration', 'new york uno deklaration', 'globalisten', 'eliten', 'merkel in marokko', 'merkel in marrakesch']","Was folgt ist wie ein Krimi…
Nun sind wir also in #Marrakesch #Marokko zur Unterzeichnung des Globalen Migrationspakts. Eine Rednerliste ist auf einem der UN-web Links auch veröffentlicht. Zwischen Belgien und Dänemark ist die Rede von Angela #Merkel vorgesehen. Hat Dr. Merkel die mit Spannung erwartete Rede gehalten? Seht selber…
#Migrationspakt #GlobalerMigrationspakt
TTTS ( #TellTheTruthSwiss #TellTheTruth )

VIDEO SOFTWARE & ALL MUSIC:
Wondershare Filmora
Fotophire Toolbox

STATEMENT OF NON-VIOLENCE:
I don't support content that promotes or condones violence against or has the primary purpose of inciting hatred against individuals or groups based on certain attributes, such as: Race or ethnic origin, religion, disability, gender, age, veteran status, sexual orientation/gender, identity.

FAIR USE:
Fair Use Disclaimer: This video may contain copyrighted material. This material is made available for Educational, research, and news reporting purposes only. This constitutes a “fair use” of any such copyrighted material as provided for in Title 17 U.S.C. section 107 of the U.S. Copyright Law, which allows citizens to reproduce, distribute, or exhibit portions of copyrighted motion pictures or televised programming under certain circumstances without authorization of the copyright holder.

VIDEOS:
Reden
Intergovernmental Conference on
the Global Compact for Migration
https://www.un.org/en/conf/migration/index.shtml

PK
UN Web TVThe United Nations Live & On Demand
http://webtv.un.org/meetings-events/watch/noon-briefing-of-10-december-2018-by-the-spokesperson-of-the-conference-migration-conference-marrakech-morocco-10-11-december-2018/5977600867001/?term=

LIVE: Intergovernmental Conference on GCM kicks off in Marrakech: opening session and general debate
Ruptly
https://www.youtube.com/watch?v=obWrXVVSA0w",3xNgOzyGhN0,Migrationspakt | Merkel in Marokko | Marrakesch | UNO IOM,18573
107,25,UCb5TfGtSgvNPVPQawfCFuAw,Kanzlei WBS,1931,1135,839.0,1302,2018-12-10,2018-12,Mon 17,2018-12 49,"['recht', 'anwalt', 'gesetz', 'kanzlei', 'jura', 'juristisch', 'rechtlich', 'wbs', 'wilde', 'beuger', 'solmecke', 'flüchtlinge', 'flucht', 'fliehen', 'migration', 'migranten', 'auslängder', 'flüchtlingspakt', 'migrationspakt', 'un', 'unmigrationspakt']","Der UN-Migrationspakt ist aktuell in aller Munde. Er wird von einigen regelrecht verteufelt. Dabei ist er weder rechtsverbindlich, noch erwächst aus ihm neues Völkergewohnheitsrecht, was die Gegner massiv kundtun. Diverse missverständliche Formulierungen bieten jedoch unnötig Angriffsfläche. Ob und wenn ja welche Kritikpunkte der Gegner stimmen, oder sie den Pakt einfach nicht verstanden haben kläre ich in diesem Video:

Das Thema des morgigen Videos: Grüner Krawall-OB kontrolliert Studenten mit Dienstausweis – Legal?

Rechtsanwalt Christian Solmecke
Christian Solmecke hat sich als Rechtsanwalt und Partner der Kölner Medienrechtskanzlei WILDE BEUGER SOLMECKE auf die Beratung der Internet-, IT- und Medienbranche spezialisiert. So hat er in den vergangenen Jahren den Bereich Internetrecht/E-Commerce der Kanzlei stetig ausgebaut und betreut zahlreiche Medienschaffende, Web 2.0 Plattformen und App-Entwickler.
Neben seiner Kanzleitätigkeit ist Solmecke Geschäftsführer des Deutschen Instituts für Kommunikation und Recht im Internet an der Cologne Business School (http://www.dikri.de). Dort beschäftigt er sich insbesondere mit den Rechtsfragen in Sozialen Netzen.
Vor seiner Tätigkeit als Anwalt arbeitete er über 10 Jahre als freier Journalist und Radiomoderator (u.a. für den Westdeutschen Rundfunk).

---------------------------------------------------------------------------------------------------------------

https://soundcloud.com/kanzleiwbs
https://itunes.apple.com/de/podcast/kanzlei-wbs/id1001147042?mt=2
https://twitter.com/solmecke
https://www.instagram.com/kanzlei_wbs/
https://www.facebook.com/die.aufklaerer

Hotline: 0221 / 400 67 550
E-Mail: info@wbs-law.de",p8j44xhmOi8,UN-Migrationspakt: Kommen jetzt wirklich mehr Flüchtlinge zu uns? | Rechtsanwalt Christian Solmecke,41808
108,25,UCjSkyrjqPeMwubZU0CnScXA,SchrangTV,2906,1479,975.0,13337,2018-12-10,2018-12,Mon 16,2018-12 49,"['heiko', 'schrang', 'heiko schrang', 'gelbwesten', 'cdu', 'migrationspakt', 'uno', 'annegret', 'krampkarrenbauer', 'tagesschau', 'tagesthemen', 'gez', 'atlantikbrücke', 'oliver janich', 'lisa fitz', 'weihnachtsmärkte']","#Gelbwesten

Hier geht es zum kostenlosen Newsletter damit Ihr, sollte unser Kanal gelöscht werden weiter die Info erhaltet: https://www.heikoschrang.de/de/newsletter/

Lisa Fitz Song: ""Ich sehe was, was Du nicht siehst""

https://www.youtube.com/watch?v=XT8rb56jn8s

▶ Unser Kanal lebt von eurer freiwilligen Unterstützung!


▶ Netbank: Heiko Schrang IBAN: DE68200905000008937559, BIC: AUGBDE71NET


▶ Paypal: info@macht-steuert-wissen.de


▶ Bitcoin: 1GKu83JQz3mzyjCZ3JpMgRVStPLQViJkVQ


Helft auch ihr, die journalistische Unabhängigkeit von SchrangTV, sowie den kostenlosen Newsletter langfristig zu sichern.


Unterstützt die Arbeit von Heiko Schrang:


https://www.macht-steuert-wissen.de/unterstuetze-heiko-schrang/

-----------------------------------------------------------------------------------------------------------

Ohne die Anwesenheit der USA, Australien, Israel, Chile, Polen, Ungarn, Österreich, Slowakei und Tschechien wurde der umstrittene Migrationspakt in Marrakesch angenommen.
Dieses umfassende Umsiedlungsprogramm erhitzte in den letzten Wochen die Gemüter wie kein anderes Thema. Was jedoch die wenigsten wissen ist, dass der Pakt insbesondere von Kanzlerin Merkel vorangetrieben wurde. Dieser bewirbt die Migration als “Chance” und unausweichliches Schicksal für die Völker. Auffällig ist dabei, das der Pakt explizit nicht von “Flüchtlinge” spricht, sondern von ca. “250 Millionen Migranten”, die es derzeit global gebe. Dadurch dass keine Differenzierung  mehr zwischen legaler und illegaler Migration gemacht wird, steht die Tür in die Sozialsysteme nun sperrangelweit offen. Die folge daraus ist der absolute  Aderlass derjenigen, die über Ihre Steuern diesen Wahnsinn finanzieren.
Diese Erklärung hat aber noch eine andere Seite, die bewusst nicht über die gleichgeschalteten Medien kommuniziert wird. Parallel verpflichten sich nämlich die Länder alle “intoleranten” Kritiker der Masseneinwanderung und ihre “Hassreden” strafrechtlich zu verfolgen, oder finanziell auszutrocknen. 
Weitere Themen der aktuellen Schrang TV Sendung sind: 

• Ist die neue CDU Vorsitzende Annegret Kramp-Karrenbauer auch nur eine Erfüllungsgehilfin der Globalindustrie und der Hochfinanz?
• Wie kann es sein, dass wir unsere Grenzen nicht sichern können, aber die Weihnachtsmärkte zu Hochsicherheitstrakte mit Nato-Stacheldraht und Betonböllern geworden sind?
• Was kostet die Absicherung der Weihnachtsmärkte den Steuerzahler?
• Der Kampf um die Deutungshoheit der Berichterstattung spitzt sich weiter zu: Schulen und Kindergärten sind jetzt im Visier der Meinungswächter.

Erkennen – erwachen – verändern",Cj1fwbHAANw,Migrationspakt beschlossen-Kriegserklärung gegen unser Volk,175647
109,22,UCOQFfcGRc886dXP2Oyt5OEg,Tim Kellner,3138,141,380.0,13114,2018-12-10,2018-12,Mon 15,2018-12 49,"['angela merkel', 'migrationspakt', 'rede', 'marrakesch', 'marokko', 'unterschrift', 'unmigrationspakt', '150 länder', 'migration', 'legale migration', 'verfassungsbeschwerde', 'tim k', 'für die eigenen']","Die Rechtsbrecherin Angela Merkel hat heute in Marrakesch den UN-Migrationspakt unterschrieben, welcher den letzten Sargnagel für Deutschland bedeutet.

Ich habe in einem Eil-Verfahren gegen die Bundesrepublik Deutschland vor dem Verwaltungsgericht Berlin und dem Oberverwaltungsgericht Berlin-Brandeburg versucht, mittels einer einstweiligen Anordnung Angela Merkel die Teilnahme an dieser Konferenz und die Unterschrift unter diesen Pakt zu verhindern.
Beide Gerichte haben ohne Begründung meine Anträge abgelehnt.
Der Rechtsweg ist damit für mich ausgeschöpft und nunmehr ist der Weg frei zum Bundesverfassungsgericht in Karlsruhe!

Ich sehe mich nämlich als Deutscher durch diese ablehnenden Beschlüsse in meinen Grundrechten verletzt und werde daher über die Rechtsanwaltskanzlei Schnelle aus Detmold eine Verfassungsbeschwerde beim Bundesverfassungsgericht in Karlsruhe einreichen!

Mir ist nicht bekannt, dass sonst noch irgendjemand diesen Weg gegangen ist oder vorhat, ihn zu gehen. Und selbst wenn es aussichtslos erscheinen mag oder nur symbolisch zu betrachten ist, so werde ich dennoch niemals aufgeben und alle mir gegebenen rechtsstaatlichen Möglichkeiten bis zum Ende ausschöpfen!
Ich bin ein freier Deutscher und ich werde nicht tatenlos dabei zusehen, wie eine Marionette Merkel dieses Land immer mehr und mehr rechtswidrig und gegen den Willen der eigenen Bevölkerung weiter abschafft.

Eines Tages werden Menschen zurückblicken und sehen, dass es trotzdem viele waren, die sich diesem Unrecht und dieser Person immer und immer wieder in den Weg gestellt haben!
Und vielleicht hat unser Streiten ja auch eines Tages Erfolg, so dass wir zurückblicken und sagen können, dass wir niemals aufgegeben hatten.

Diese Eilverfahren haben mich bis dato schon mehrere Tausend Euro gekostet und die Verfassungsbeschwerde wird ebenfalls viel Arbeit und damit verbundene Kosten bedeuten.
Ich habe sehr viele Zuschriften bekommen, in denen ich gefragt wurde, wie man die Sache unterstützen kann. 
Nun ist der Zeitpunkt gekommen, wo sich jeder daran beteiligen kann.

Wer mich also bei dieser Verfassungsbeschwerde unterstützen möchte, der kann dieses folgendermaßen tun:
Paypal: caesar7@gmx.de 
Sonstige Kontodaten auf: www.fuerdieeigenen.de

Ich reiche diese Verfassungsbeschwerde stellvertretend für uns alle ein!

Ich danke Euch im Voraus für Eure Unterstützung.

Wer kämpft, kann verlieren. Wer nicht kämpft, hat schon verloren!
Für die Zukunft unserer Kinder!
Gegen eine Angela Merkel!

Für die Eigenen!

Tim K.

#fürdieeigenen  #timk  #timkellner",s_QAG3XZlN8,MERKEL UNTERSCHREIBT MIGRATIONSPAKT! ICH reiche VERFASSUNGSBESCHWERDE ein!,92857
110,25,UC4qhj5cnX0MkbwXQ5vlI1NQ,Krone,1,1,121.0,14,2018-12-10,2018-12,Mon 15,2018-12 49,"['kronen zeitung', 'kronetv', 'krone', 'kroneat', 'nachrichten österreich', 'österreich', 'migrationspakt', 'uno pakt', 'uno migrationspakt', 'marrakesch', 'un pakt', 'un migrationspakt', 'migrationspolitik', 'migration', 'may', 'theresa may', 'brexit', 'brexit abstimmung', 'brexit deal', 'may brexit', 'jeanclaude juncker', 'brexit eu', 'juncker', 'mord steyr', 'mord', 'wetterbericht', 'wettervorschau']","Erste Hintergründe zum Mord in Steyr, Theresa May hat ein Problem und der UNO-Migrationspakt ist angenommen – das ist Ihr Nachrichtenüberblick am 10.12.",C8R_T-MimI8,Migrationspakt angenommen ++ May in Brexit-Zwickmühle,205
111,25,UCwyiPnNlT8UABRmGmU0T9jg,phoenix,0,151,1292.0,25,2018-12-10,2018-12,Mon 15,2018-12 49,"['phoenix', 'politik', 'bundestag', 'nachrichten', 'information', 'tv', 'fernsehen', 'migrationspakt', 'angela merkel', 'marrakesch', 'eva dick', 'unkonferenz']","Rede von Bundeskanzlerin Angela Merkel zum Migrationspakt auf der UN-Konferenz in Marrakesch. Moderator Hans-Werner Fittkau ordnet gemeinsam mit Eva Dick (Expertin für Flucht und Migration, Deutsches Institut für Entwicklungspolitik) die Ereignisse auf der UN-Konferenz ein.",AYsaRaH7Lf0,Rede von Angela Merkel zum Migrationspakt auf der UN-Konferenz am 10.12.18,3964
112,25,UCtRXJj_5ykd4YfhXt0TvMSQ,DieBananenrepublik,64,41,539.0,128,2018-12-10,2018-12,Mon 15,2018-12 49,"['landesverrat', 'migrationspakt', 'migrationspaktstoppen', 'bananenrepublik', 'stimmbürger', 'demokratie', 'stimmbuerger', 'propaganda', 'qualitätsjournalismus', 'lügenpresse', 'medienkritik', 'populismus', 'politik', 'politisches', 'kabarett', 'satire', 'korruption', 'comedy', 'schwarzer', 'humor', 'politsatire', 'lustig', 'commedian', 'komiker', 'entertainer', 'moderator', 'schauspieler', 'korrupt', 'kartell', 'kampagnenjournalismus', 'meinungsmache', 'regierungsjournalismus', 'lückenpresse', 'marrakesch']","► Google+: https://plus.google.com/u/0/106701079280378758319/posts
► Zweiter-Upload-Kanal: https://www.youtube.com/user/Bananenrepublik1
► Twitter: https://twitter.com/Stimmbuerger - Bananenrepublik
► Backup-Kanal: https://www.youtube.com/user/diebananenrepublik2/videos
► Quellen: „Durch den Zuzug weiterer kulturfremder Flüchtlinge und illegale Einwanderung stehen unsere Art zu leben und das Gefühl von Heimat auf dem Spiel“, so Abler. Zahlen würden belegen,dass 80% der Zuwanderer im besten Arbeitsalter von Hartz IV leben, und ebenfalls 80% aller Neuankömmlinge gehören dem Islam angehören. „Wir wissen: Der Islam ist keine tolerante Religion. Hundert Millionen Christen werden weltweit verfolgt, überwiegend von Muslimen. Im Koran wird rund 200mal zum Kampf gegen die Ungläubigen aufgefordert,“
„Es ist naiv zu glauben, dass sich die muslimischen Flüchtlinge in Deutschland anpassen werden. Erdogan fordert seine Landsleute in Deutschland auf, sich einer Integration zu widersetzen. Mit Sorge ist ein ständiges Wachstum einer Parallelgesellschaft mit eigenem Rechtsverständnis zu beobachten. Die Islamisierung Deutschlands führt in Großstädten zu Kontrollverlusten durch die Behörden. Der Staat hat aber die Pflicht, nicht nur den Bürger, sondern auch seine kulturelle Identität zu schützen“, so der kritische Delegierte, der für seine Rede Pfiffe  und Kopfschütteln statt Applaus erntete.

Für Unverständnis und Kopfschütteln hat der Bodnegger CDU-Politiker Eugen Abler mit seiner Rede auf dem CDU-Bundesparteitag in Hamburg gesorgt. Sollte Bundeskanzlerin Angela Merkel den UN-Flüchtlingspakt unterzeichnen, sei das „Landesverrat“. Ein solcher Pakt habe verhängnisvolle Auswirkungen auf das Land, sagte Abler in Hamburg. Anwesende erinnerte dessen Worte an die der AfD.
https://www.schwaebische.de/landkreis/landkreis-ravensburg/bodnegg_artikel,-landesverrat-eugen-abler-attackiert-merkel-auf-cdu-parteitag-in-hamburg-_arid,10976304.html

CDU-Delegierter wird ausgepfiffen: „Migrationspakt ist Landesverrat“ https://www.journalistenwatch.com/2018/12/08/cdu-delegierter-unterschreiben/

„Landesverrat“ – Eugen Abler hält der CDU erneut den Spiegel vor
http://www.pi-news.net/2018/12/landesverrat-eugen-abler-haelt-der-cdu-erneut-den-spiegel-vor/
www.Phoenix.de

#Landesverrat #Migrationspakt #Marrakesch #Merkelmussweg #wirschaffendas #Bananenrepublik",IGUBUrpQnRY,Migrationspakt ist Landesverrat - Eugen Abler CDU-Delegierter 07.12.2018 - Bananenrepublik,2643
113,25,UCNz-EGSd5BXEoTcLcYCGsig,AfD Bayern TV,29,7,432.0,222,2018-12-10,2018-12,Mon 15,2018-12 49,"['afd', 'afd bayern', 'afd tv', 'afd television', 'afd videos', 'afd veranstaltungen', 'afd bayern tv', 'afd bayern video', 'afd bayern videos', 'afd bayern demo', 'afd demo', 'afd demo reden', 'alternative für deutschland', 'alternative für deutschland bayern', 'afd mittelstandsforum']","Prof. Dr. Rainer Rothfuß und Martin Hebner berichten aus Marrakesch kurz nach der Annahme des Migrationspaktes. 

Da können Sie und hören, wie man Politik für das eigene Volk macht.
----------------------------------------------------------------------------------------------

Abonnieren Sie unseren Kanal (AfD Bayern TV) und erhalten Sie immer unsere aktuellsten Film-Beiträge!
(aktivieren Sie auch die E-Mail Benachrichtigung über das Zahnrad)

Wir bitten Sie unsere Filme auf FB, Twitter und Co zu teilen! Vielen Dank

Das verändern unserer Filme oder der Filmbeschreibung ist nicht zulässig! Gern könnt ihr aber unsere Videos teilen. Vielen Dank",DIAwKoS3oHg,Prof. Rainer Rothfuß und Martin Hebner berichten aus Marrakesch über den Migrationspakt,3315
114,25,UCcPcua2PF7hzik2TeOBx3uw,faz,159,158,113.0,20,2018-12-10,2018-12,Mon 14,2018-12 49,[],"Der UN-Migrationspakt ist unterzeichnet: Bundeskanzlerin Angela Merkel hat in Marokko den gerade verabschiedeten UN-Migrationspakt als wichtiges Symbol für die internationale Zusammenarbeit bezeichnet. 164 Staatsführungen sprachen sich dafür aus, 28 dagegen. © REUTERS, DPA

Link zum Video: https://www.faz.net/-gpf-9hj6u
Link zur Homepage: https://www.faz.net",7IO4zsRWg7g,Merkel: Migrationspakt „wichtiges Symbol für Multilateralismus“,2782
115,25,UC4kbRZt6oNrlokrqrnQXpKg,RT Deutsch,39,517,10906.0,26,2018-12-10,2018-12,Mon 14,2018-12 49,['russia today'],"Eine internationalen Konferenz in Marrakesch, Marokko, vom 10. bis 11. Dezember  beschäftigt sich mit der Annahme des globalen Migrationspaktes. (Bitte haben sie Verständnis dafür, dass wir die Live-Veranstaltung lediglich in englischer Sprache übertragen können).

Es wird erwartet, dass die von den Vereinten Nationen einberufene Konferenz formell ein umfassendes globales Abkommen verabschiedet, das darauf abzielen soll, die Migration sicherer und würdevoller zu machen.

Plenar-Zeitplan (bitte beachten Sie, dass es zu Änderungen im Programm kommen kann)

Eröffnungsplenum, Migrationskonferenz (Marrakesch, Marokko, 10.-11. Dezember 2018)- Marrakesch Plenarsaal

09.00- 19.00 UHR GMT 
Die allgemeine Aussprache beginnt mit Erklärungen der Staaten gemäß der festgelegten Rednerliste.

Allgemeine Debatte, 1. Plenarsitzung, Migrationskonferenz 

Mehr auf unserer Webseite: Umstrittener UN-Migrationspakt in Marrakesch angenommen https://de.rt.com/1qbv

Folge uns auf Facebook: https://www.facebook.com/rtdeutsch 
Folge uns auf Twitter: https://twitter.com/RT_Deutsch 
Folge uns auf Google+: https://plus.google.com/106894031455027715800/about 
RT Deutsch nimmt die Herausforderung an, die etablierte deutsche Medienlandschaft aufzurütteln und mit einer alternativen Berichterstattung etablierte Meinungen zu hinterfragen. Wir zeigen und schreiben das, was sonst verschwiegen oder weggeschnitten wird. RT - Der fehlende Part.",vQpan6BYSKg,LIVE: Konferenz in Marrakesch – UN-Migrationspakt wird angenommen,6282
116,22,UCOswmSoC-y6DlPNox6f8SIQ,Der Privatinvestor Politik Spezial,406,19,252.0,2360,2018-12-10,2018-12,Mon 13,2018-12 49,"['migrationspakt', 'merkel', 'akk', 'marrakesch']","Achtung: wir sind umgezogen!

Sie finden unseren Politikkanal jetzt hier https://www.youtube.com/channel/UCi5R...

Bitte abonnieren Sie unseren neuen Kanal 

Es sind nur 2 Klicks

Warum ziehen wir um?

Antwort: Die Zahl der Abonnenten und die Zahl der Videos, die wir für Sie hochladen, sind so rasant gestiegen, dass ich Kollegen aus unserem Team als Administratoren einladen muss, damit sie helfen können, Videos hochzuladen und zu bearbeiten. Dies ist auf dem bestehenden Kanal technisch leider nicht möglich. Daher der Umzug. DANKE für Ihr Verständnis - und bis gleich im neuen Kanal",JWVyx7_OTGY,Migrationspakt: Medien machen scharfen U-Turn,54320
